komentar,komentar_bersih,setelah_preprocesing,setelah_normalisasi,setelah_normalisasi1
pilek yg akan datang gk usah di coblos,pilek yg akan datang gk usah di coblos,pilek yg gk coblos,pilek yg gk coblos,pilek coblos
dpr gk ada gunanya ko' gk memihak rakyat,dpr gk ada gunanya ko gk memihak rakyat,dpr gk gunanya ko gk rakyat,dpr gk guna ko gk rakyat,dpr ko rakyat
"klu mau efesiensi anggaran yg benar adalah efesiensi anggaran terhadap semua pejabat2 negara dan seluruh aparatur sipil negara, contohnya tunjangan2 asn dan pejabat - pejabat negara yg harus dipangkas bukan efensiensi utk pembangunan pak menkeu. coba lihat tujanggan2 asn dan pejabat2 negara yg besar2, thr dan gaji ke - 13, dan contoh yg dipaparkan lagi bahwa pegawai di kemenkeu ada 77.000 pegawai apa itu tdk terlalu banyak pak menkeu, coba buat perubahan di kemenkeu yg bpk pimpin dulu, baru bpk bisa lakukan pada kementerian lain. klu dibahas tentang dinas pendidikan, coba pak menkeu lihat para guru2 di sekolah swasta apa sdh seimbang kesejateraannya dgn guru2 yg pns???",klu mau efesiensi anggaran yg benar adalah efesiensi anggaran terhadap semua pejabat2 negara dan seluruh aparatur sipil negara contohnya tunjangan2 asn dan pejabat pejabat negara yg harus dipangkas bukan efensiensi utk pembangunan pak menkeu coba lihat tujanggan2 asn dan pejabat2 negara yg besar2 thr dan gaji ke 13 dan contoh yg dipaparkan lagi bahwa pegawai di kemenkeu ada 77000 pegawai apa itu tdk terlalu banyak pak menkeu coba buat perubahan di kemenkeu yg bpk pimpin dulu baru bpk bisa lakukan pada kementerian lain klu dibahas tentang dinas pendidikan coba pak menkeu lihat para guru2 di sekolah swasta apa sdh seimbang kesejateraannya dgn guru2 yg pns,klu efesiensi anggaran yg efesiensi anggaran pejabat2 negara aparatur sipil negara contohnya tunjangan2 asn pejabat pejabat negara yg dipangkas efensiensi utk pembangunan menkeu coba lihat tujanggan2 asn pejabat2 negara yg besar2 thr gaji 13 contoh yg dipaparkan pegawai kemenkeu 77000 pegawai tdk menkeu coba perubahan kemenkeu yg bpk pimpin bpk lakukan kementerian klu dibahas dinas pendidikan coba menkeu lihat guru2 sekolah swasta sdh seimbang kesejateraannya dgn guru2 yg pns,klu efesiensi anggar yg efesiensi anggar pejabat2 negara aparatur sipil negara contoh tunjangan2 asn jabat jabat negara yg pangkas efensiensi utk bangun menkeu coba lihat tujanggan2 asn pejabat2 negara yg besar2 thr gaji 13 contoh yg papar pegawai kemenkeu 77000 pegawai tdk menkeu coba ubah kemenkeu yg bpk pimpin bpk laku menteri klu bahas dinas didik coba menkeu lihat guru2 sekolah swasta sdh imbang kesejateraannya dgn guru2 yg pns,klu efesiensi anggar efesiensi anggar pejabat2 negara aparatur sipil negara contoh tunjangan2 asn jabat jabat negara pangkas efensiensi utk bangun menkeu coba lihat tujanggan2 asn pejabat2 negara besar2 thr gaji 13 contoh papar pegawai kemenkeu 77000 pegawai menkeu coba ubah kemenkeu bpk pimpin bpk laku menteri klu bahas dinas didik coba menkeu lihat guru2 sekolah swasta imbang kesejateraannya guru2 pns
sekali sekali dpr ini kasih solusi jalan keluar.jangan cumu koar koar.rugi rakyat bayar dpr kalau cuma demikian ini cuma jadi beban negara.maka jangan salahkan bila ada keinginan rakyat untuk membubarkan dpr,sekali sekali dpr ini kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr kalau cuma demikian ini cuma jadi beban negaramaka jangan salahkan bila ada keinginan rakyat untuk membubarkan dpr,dpr kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr beban negaramaka salahkan rakyat membubarkan dpr,dpr kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr beban negaramaka salah rakyat bubar dpr,dpr kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr beban negaramaka salah rakyat bubar dpr
pengawasan secara berkala terus menerus pak mentri.sekali gak di awasi belok kemana mana,pengawasan secara berkala terus menerus pak mentrisekali gak di awasi belok kemana mana,pengawasan berkala menerus mentrisekali gak awasi belok kemana,awas kala terus mentrisekali gak awas belok mana,awas mentrisekali gak awas belok
"dasar, udah tau defisit besar tapi terus korupsi, anggota dpr tidak bayar pajak, kartel tidak bayar pajak, dibiari.",dasar udah tau defisit besar tapi terus korupsi anggota dpr tidak bayar pajak kartel tidak bayar pajak dibiari,dasar udah tau defisit korupsi anggota dpr bayar pajak kartel bayar pajak dibiari,dasar udah tau defisit korupsi anggota dpr bayar pajak kartel bayar pajak biar,dasar udah tau defisit korupsi anggota dpr bayar pajak kartel bayar pajak biar
residifis,residifis,residifis,residifis,residifis
kamu dpr tau pun bukan belanja untuk rakyat tapi dikorupsi.,kamu dpr tau pun bukan belanja untuk rakyat tapi dikorupsi,dpr tau belanja rakyat dikorupsi,dpr tau belanja rakyat korupsi,dpr tau belanja rakyat korupsi
"jangan bilang ""tak berguna kita"" kerna yang jelas 20 tahun tak berguna itu cuma kamu sama sri mulyani, bukan menko prubaya.",jangan bilang tak berguna kita kerna yang jelas 20 tahun tak berguna itu cuma kamu sama sri mulyani bukan menko prubaya,bilang berguna kerna 20 berguna sri mulyani menko prubaya,bilang guna kerna 20 guna sri mulyani menko prubaya,bilang kerna 20 sri mulyani menko prubaya
"utang nya di zaman sri mulyani, menko nya sri mylyani. 

kok baru sekarang sadar dan tanya bagaimana mau bayar utang 1,300 trillion. kenapa di  zaman sri mulyani tidak tanya? takut? atau sama sama bagi bagi wang korupsi.",utang nya di zaman sri mulyani menko nya sri mylyani kok baru sekarang sadar dan tanya bagaimana mau bayar utang 1300 trillion kenapa di zaman sri mulyani tidak tanya takut atau sama sama bagi bagi wang korupsi,utang nya zaman sri mulyani menko nya sri mylyani sadar bayar utang 1300 trillion zaman sri mulyani takut wang korupsi,utang nya zaman sri mulyani menko nya sri mylyani sadar bayar utang 1300 trillion zaman sri mulyani takut wang korupsi,utang zaman sri mulyani menko sri mylyani sadar bayar utang 1300 trillion zaman sri mulyani takut wang korupsi
"tunjangan2 dpr aja di efesiensilah, ayo berkorban wakil rakyat!!! katanya wakil rakyat kan??? buat apa tunjangan2 besar2 kalo gak ada perubahan kerakyat? kalo gak setuju di efesiensi tunjangan2nya ya mundur aja!!!",tunjangan2 dpr aja di efesiensilah ayo berkorban wakil rakyat katanya wakil rakyat kan buat apa tunjangan2 besar2 kalo gak ada perubahan kerakyat kalo gak setuju di efesiensi tunjangan2nya ya mundur aja,tunjangan2 dpr aja efesiensilah ayo berkorban wakil rakyat wakil rakyat tunjangan2 besar2 kalo gak perubahan kerakyat kalo gak setuju efesiensi tunjangan2nya ya mundur aja,tunjangan2 dpr aja efesiensilah ayo korban wakil rakyat wakil rakyat tunjangan2 besar2 kalo gak ubah rakyat kalo gak tuju efesiensi tunjangan2nya ya mundur aja,tunjangan2 dpr efesiensilah ayo korban wakil rakyat wakil rakyat tunjangan2 besar2 kalo gak ubah rakyat kalo gak tuju efesiensi tunjangan2nya ya mundur
kalau bicara complen pandai coba bikin undang2 hak angket kemiskinan tak jln2 xdpr dpr,kalau bicara complen pandai coba bikin undang2 hak angket kemiskinan tak jln2 xdpr dpr,bicara complen pandai coba bikin undang2 hak angket kemiskinan jln2 xdpr dpr,bicara complen pandai coba bikin undang2 hak angket miskin jln2 xdpr dpr,bicara complen pandai coba bikin undang2 hak angket miskin jln2 xdpr dpr
"aku sempat berpikir ada ga sih anggota dpr yg korupsi, kalau gak ada, gak mungkin sih apa gak ada yg mengawasi mereka",aku sempat berpikir ada ga sih anggota dpr yg korupsi kalau gak ada gak mungkin sih apa gak ada yg mengawasi mereka,berpikir ga sih anggota dpr yg korupsi gak gak sih gak yg mengawasi,pikir ga sih anggota dpr yg korupsi gak gak sih gak yg awas,pikir sih anggota dpr korupsi gak gak sih gak awas
kalau p purbaya pinter gak bolet seperti kalian kalian,kalau p purbaya pinter gak bolet seperti kalian kalian,p purbaya pinter gak bolet,p purbaya pinter gak bolet,p purbaya pinter gak bolet
memang p purbaya pinter kenapa dua hari aja firal bukan omong omong aja seperti anggota suka mempermainkan uang rakyat,memang p purbaya pinter kenapa dua hari aja firal bukan omong omong aja seperti anggota suka mempermainkan uang rakyat,p purbaya pinter aja firal omong omong aja anggota suka mempermainkan uang rakyat,p purbaya pinter aja firal omong omong aja anggota suka main uang rakyat,p purbaya pinter firal omong omong anggota suka main uang rakyat
persis pinter padahal ting kosong 😊,persis pinter padahal ting kosong,persis pinter ting kosong,persis pinter ting kosong,persis pinter ting kosong
gjih buta,gjih buta,gjih buta,gjih buta,gjih buta
"itulah kenapa indonesia jd negara mundur terus karena kalo ada orang berani melakukan gebrakan, biasanya banyak pertentangan kalo  ada orang yg bisa di ajak bersekongkolan maka mereka akan merasa nyaman, makanya korupsi rampok uang negara aman aman saja karena semua melakukan, negara kaya sumber daya alam tapi bangkrut.",itulah kenapa indonesia jd negara mundur terus karena kalo ada orang berani melakukan gebrakan biasanya banyak pertentangan kalo ada orang yg bisa di ajak bersekongkolan maka mereka akan merasa nyaman makanya korupsi rampok uang negara aman aman saja karena semua melakukan negara kaya sumber daya alam tapi bangkrut,indonesia jd negara mundur kalo orang berani gebrakan pertentangan kalo orang yg ajak bersekongkolan nyaman korupsi rampok uang negara aman aman negara kaya sumber daya alam bangkrut,indonesia jd negara mundur kalo orang berani gebrak tentang kalo orang yg ajak sekongkol nyaman korupsi rampok uang negara aman aman negara kaya sumber daya alam bangkrut,indonesia jd negara mundur kalo orang berani gebrak kalo orang ajak sekongkol nyaman korupsi rampok uang negara aman aman negara kaya sumber daya alam bangkrut
bayar utang solusinya negara 1300 triliun solusinya tak perlu pak menteri keuangan menjawab saya org biasa saja yg jawab sangat mudah sekali bayar utang segitu dgn indonesian negara yg sangat.kaya raya.,bayar utang solusinya negara 1300 triliun solusinya tak perlu pak menteri keuangan menjawab saya org biasa saja yg jawab sangat mudah sekali bayar utang segitu dgn indonesian negara yg sangatkaya raya,bayar utang solusinya negara 1300 triliun solusinya menteri keuangan org yg mudah bayar utang segitu dgn indonesian negara yg sangatkaya raya,bayar utang solusi negara 1300 triliun solusi menteri uang org yg mudah bayar utang segitu dgn indonesian negara yg sangatkaya raya,bayar utang solusi negara 1300 triliun solusi menteri uang org mudah bayar utang segitu indonesian negara sangatkaya raya
dpr perlu di ifisiensi biar dana negara tdk mubadir,dpr perlu di ifisiensi biar dana negara tdk mubadir,dpr ifisiensi biar dana negara tdk mubadir,dpr ifisiensi biar dana negara tdk mubadir,dpr ifisiensi biar dana negara mubadir
"hai anggota dewan , knp wkt sri mulyani ngejabat,anda tdk ksh masukan sm sri mulyani yg ngejabat sdh puluhan thn,skarang anda langsung ngegas sm mentri yg baru,pertanyaan nya knp",hai anggota dewan knp wkt sri mulyani ngejabatanda tdk ksh masukan sm sri mulyani yg ngejabat sdh puluhan thnskarang anda langsung ngegas sm mentri yg barupertanyaan nya knp,hai anggota dewan knp wkt sri mulyani ngejabatanda tdk ksh masukan sm sri mulyani yg ngejabat sdh puluhan thnskarang langsung ngegas sm mentri yg barupertanyaan nya knp,hai anggota dewan knp wkt sri mulyani ngejabatanda tdk ksh masuk sm sri mulyani yg ngejabat sdh puluh thnskarang langsung ngegas sm tri yg barupertanyaan nya knp,hai anggota dewan knp wkt sri mulyani ngejabatanda ksh masuk sri mulyani ngejabat puluh thnskarang langsung ngegas tri barupertanyaan knp
"pa. purboyo gaskeun yg banyak protes. elit"" politik. suruh bikin korupsi harus di miskinkan g jadi""",pa purboyo gaskeun yg banyak protes elit politik suruh bikin korupsi harus di miskinkan g jadi,pa purboyo gaskeun yg protes elit politik suruh bikin korupsi miskinkan g,pa purboyo gaskeun yg protes elit politik suruh bikin korupsi miskin g,pa purboyo gaskeun protes elit politik suruh bikin korupsi miskin
dpr sdh gak dipercaya rakyat kok bicara terus untuk siapa anda dpr bicara,dpr sdh gak dipercaya rakyat kok bicara terus untuk siapa anda dpr bicara,dpr sdh gak dipercaya rakyat bicara dpr bicara,dpr sdh gak percaya rakyat bicara dpr bicara,dpr gak percaya rakyat bicara dpr bicara
"i'm not found?
what's the meaning  bro?",im not found whats the meaning bro,im not found whats the meaning bro,im not found whats the meaning bro,im not found whats the meaning bro
anggota dpr bnyk bicara tp tdk yakin dgn keberadaan mereka sendiri,anggota dpr bnyk bicara tp tdk yakin dgn keberadaan mereka sendiri,anggota dpr bnyk bicara tp tdk dgn keberadaan,anggota dpr bnyk bicara tp tdk dgn ada,anggota dpr bnyk bicara
"dpr tu kerjanya masih pake staf ahli ya? kqlo iya, berarti tidak kompeten, tidak layak jadi anggota dpr, memalukan",dpr tu kerjanya masih pake staf ahli ya kqlo iya berarti tidak kompeten tidak layak jadi anggota dpr memalukan,dpr tu kerjanya pake staf ahli ya kqlo iya kompeten layak anggota dpr memalukan,dpr tu kerja pake staf ahli ya kqlo iya kompeten layak anggota dpr malu,dpr tu kerja pake staf ahli ya kqlo iya kompeten layak anggota dpr malu
"serius nanya 

menteri sama dewan itu tinggi siapa to jabatannya 
kok dpr kayak menyidang terdakwa",serius nanya menteri sama dewan itu tinggi siapa to jabatannya kok dpr kayak menyidang terdakwa,serius nanya menteri dewan to jabatannya dpr kayak menyidang terdakwa,serius nanya menteri dewan to jabat dpr kayak sidang dakwa,serius nanya menteri dewan to jabat dpr kayak sidang dakwa
dpr yg nyaman dg sm ketar ketir,dpr yg nyaman dg sm ketar ketir,dpr yg nyaman dg sm ketar ketir,dpr yg nyaman dg sm ketar tir,dpr nyaman ketar tir
"loh dprkan sudah bubar.
indonesia sekarang gak ada drp drr an",loh dprkan sudah bubar indonesia sekarang gak ada drp drr an,loh dprkan bubar indonesia gak drp drr an,loh dprkan bubar indonesia gak drp drr an,loh dprkan bubar indonesia gak drp drr an
hasil.kekayaan tambang.emas.bauxit.minyak.gas.timah nikel.uangnya kemana..rakyat diperas macam macam pajak. uang ya larinya kemana perlu ditelusuri.mohon p.prabowo.semangat mulai bersih bersih. dari koruptor.,hasilkekayaan tambangemasbauxitminyakgastimah nikeluangnya kemanarakyat diperas macam macam pajak uang ya larinya kemana perlu ditelusurimohon pprabowosemangat mulai bersih bersih dari koruptor,hasilkekayaan tambangemasbauxitminyakgastimah nikeluangnya kemanarakyat diperas pajak uang ya larinya kemana ditelusurimohon pprabowosemangat bersih bersih koruptor,hasilkekayaan tambangemasbauxitminyakgastimah nikeluangnya kemanarakyat peras pajak uang ya lari mana ditelusurimohon pprabowosemangat bersih bersih koruptor,hasilkekayaan tambangemasbauxitminyakgastimah nikeluangnya kemanarakyat peras pajak uang ya lari ditelusurimohon pprabowosemangat bersih bersih koruptor
"pendidikan dibawah depag, korupsi aparatnya kepaladinas2 dan jajarannya sering bikin berbagsi alasan utk bimteklah, pencocokan datalah, padahal sudah dilakukan pengumpulan dan pengisian data dengan system online. 
tapi??? intinya semua sekolah baik negri maupu  swasta dibawah depag tsb dimintain iuran. sekali lagi ""minta iyuran"" khususnya di kab. bogor. """,pendidikan dibawah depag korupsi aparatnya kepaladinas2 dan jajarannya sering bikin berbagsi alasan utk bimteklah pencocokan datalah padahal sudah dilakukan pengumpulan dan pengisian data dengan system online tapi intinya semua sekolah baik negri maupu swasta dibawah depag tsb dimintain iuran sekali lagi minta iyuran khususnya di kab bogor,pendidikan dibawah depag korupsi aparatnya kepaladinas2 jajarannya bikin berbagsi alasan utk bimteklah pencocokan datalah pengumpulan pengisian data system online intinya sekolah negri maupu swasta dibawah depag tsb dimintain iuran iyuran kab bogor,didik bawah depag korupsi aparat kepaladinas2 jajar bikin berbagsi alas utk bimteklah cocok data kumpul isi data system online inti sekolah negri maupu swasta bawah depag tsb dimintain iur iyuran kab bogor,didik depag korupsi aparat kepaladinas2 jajar bikin berbagsi alas utk bimteklah cocok data kumpul isi data system online inti sekolah negri maupu swasta depag tsb dimintain iur iyuran kab bogor
"pak mekeng jangan usul anggaran orang dikurangi, coba kurangi juga anggaran dpr",pak mekeng jangan usul anggaran orang dikurangi coba kurangi juga anggaran dpr,mekeng usul anggaran orang dikurangi coba kurangi anggaran dpr,mekeng usul anggar orang rang coba kurang anggar dpr,mekeng usul anggar orang rang coba anggar dpr
"bapat pintar omong,, tapi kepintaran bapak tilap tilap duit rakyat",bapat pintar omong tapi kepintaran bapak tilap tilap duit rakyat,bapat pintar omong kepintaran tilap tilap duit rakyat,bapat pintar omong pintar tilap tilap duit rakyat,bapat pintar omong pintar tilap tilap duit rakyat
ekonomi bisa meningkat jika dpr ditiadakan🎉🎉🎉🎉,ekonomi bisa meningkat jika dpr ditiadakan,ekonomi meningkat dpr ditiadakan,ekonomi tingkat dpr tiada,ekonomi tingkat dpr tiada
"dpr diskusa diskusi, gk jls. dpr (datang pulang rupiah) omong opo dpr gk mutu.",dpr diskusa diskusi gk jls dpr datang pulang rupiah omong opo dpr gk mutu,dpr diskusa diskusi gk jls dpr pulang rupiah omong opo dpr gk mutu,dpr diskusa diskusi gk jls dpr pulang rupiah omong opo dpr gk mutu,dpr diskusa diskusi jls dpr pulang rupiah omong opo dpr mutu
gede omong dpr..sok penguasa.menjas mentri.padahal dunguuu😮,gede omong dprsok penguasamenjas mentripadahal dunguuu,gede omong dprsok penguasamenjas mentripadahal dunguuu,gede omong dprsok penguasamenjas mentripadahal dunguuu,gede omong dprsok penguasamenjas mentripadahal dunguuu
dan sudah menjadi tradisi di indonesia kalau ada orang yang benar dan tulus pro rakyat.ingin rakyat nya sejahtera.ingin indonesia ini maju pasti orang tersebut di cecer dan di singkirkan.mapia nya terlalu buas.,dan sudah menjadi tradisi di indonesia kalau ada orang yang benar dan tulus pro rakyatingin rakyat nya sejahteraingin indonesia ini maju pasti orang tersebut di cecer dan di singkirkanmapia nya terlalu buas,tradisi indonesia orang tulus pro rakyatingin rakyat nya sejahteraingin indonesia maju orang cecer singkirkanmapia nya buas,tradisi indonesia orang tulus pro rakyatingin rakyat nya sejahteraingin indonesia maju orang cecer singkirkanmapia nya buas,tradisi indonesia orang tulus pro rakyatingin rakyat sejahteraingin indonesia maju orang cecer singkirkanmapia buas
pangkas juga pengeluaran utk dpr,pangkas juga pengeluaran utk dpr,pangkas pengeluaran utk dpr,pangkas keluar utk dpr,pangkas utk dpr
"dan lucunya anggota dprnya ngga ada yang ahli, asbun doang",dan lucunya anggota dprnya ngga ada yang ahli asbun doang,lucunya anggota dprnya ngga ahli asbun doang,lucu anggota dprnya ngga ahli asbun doang,lucu anggota dprnya ngga ahli asbun doang
indonesia klo ada orang berani jujur  dan transparan kerakyat soal kinerjanya pasti akan di usik dijatuhkan dan diragukan  olehh yg katanya  anggot4 wakilnya rakyatt 😂😂😂,indonesia klo ada orang berani jujur dan transparan kerakyat soal kinerjanya pasti akan di usik dijatuhkan dan diragukan olehh yg katanya anggot4 wakilnya rakyatt,indonesia klo orang berani jujur transparan kerakyat kinerjanya usik dijatuhkan diragukan olehh yg anggot4 wakilnya rakyatt,indonesia klo orang berani jujur transparan rakyat kerja usik jatuh ragu olehh yg anggot4 wakil rakyatt,indonesia klo orang berani jujur transparan rakyat kerja usik jatuh ragu olehh anggot4 wakil rakyatt
anggota dewan semua berbicara layaknya berpihak pd rakyat tp..kalian lah yg menerima uang rakyat paling besar gajih2&tunjangan kalian harusnya dikurangi pasti kalian ngerti n tulus bantu rakyat karena kalian pasti ngrasain gmna rasanya jd orang berpenghasilan pas2an klo gajian & tunjangan kalian masih selangit indonesia gak akansejahtera dan itu pasti,anggota dewan semua berbicara layaknya berpihak pd rakyat tpkalian lah yg menerima uang rakyat paling besar gajih2tunjangan kalian harusnya dikurangi pasti kalian ngerti n tulus bantu rakyat karena kalian pasti ngrasain gmna rasanya jd orang berpenghasilan pas2an klo gajian tunjangan kalian masih selangit indonesia gak akansejahtera dan itu pasti,anggota dewan berbicara layaknya berpihak pd rakyat tpkalian yg menerima uang rakyat gajih2tunjangan dikurangi ngerti n tulus bantu rakyat ngrasain gmna jd orang berpenghasilan pas2an klo gajian tunjangan selangit indonesia gak akansejahtera,anggota dewan bicara layak pihak pd rakyat tpkalian yg terima uang rakyat gajih2tunjangan rang ngerti n tulus bantu rakyat ngrasain gmna jd orang hasil pas2an klo gaji tunjang langit indonesia gak akansejahtera,anggota dewan bicara layak pd rakyat tpkalian terima uang rakyat gajih2tunjangan rang ngerti n tulus bantu rakyat ngrasain gmna jd orang hasil pas2an klo gaji tunjang langit indonesia gak akansejahtera
dpr kok baru ngomong..lha dulu ngapain aja,dpr kok baru ngomonglha dulu ngapain aja,dpr ngomonglha ngapain aja,dpr ngomonglha ngapain aja,dpr ngomonglha ngapain
pak purbaya tidak punya kemampuan hanya mekeng yg mampu,pak purbaya tidak punya kemampuan hanya mekeng yg mampu,purbaya kemampuan mekeng yg,purbaya mampu mekeng yg,purbaya mekeng
"bosan saya mendengarkannya, karena saya sudah ngak percaya dengan dpr",bosan saya mendengarkannya karena saya sudah ngak percaya dengan dpr,bosan mendengarkannya ngak percaya dpr,bosan dengar ngak percaya dpr,bosan dengar ngak percaya dpr
"kami optimis bisa lbh maju p purbaya menjadi menkeu, walaupun hutangnya skrng sdh bnyk.",kami optimis bisa lbh maju p purbaya menjadi menkeu walaupun hutangnya skrng sdh bnyk,optimis lbh maju p purbaya menkeu hutangnya skrng sdh bnyk,optimis lbh maju p purbaya menkeu hutang skrng sdh bnyk,optimis lbh maju p purbaya menkeu hutang skrng bnyk
anggota dewan rata rata omdo..di kasih amplop aja mulutnya bisu.,anggota dewan rata rata omdodi kasih amplop aja mulutnya bisu,anggota dewan omdodi kasih amplop aja mulutnya bisu,anggota dewan omdodi kasih amplop aja mulut bisu,anggota dewan omdodi kasih amplop mulut bisu
"dpr cuma mementingkan anggota saja ,kalao ada mentri yg baru berani mengungkap pejabat yg nakal  dpr komisi 11 kayaknya jengkel ada mentri keuwangan yg jujur jangan2 dpr sendiri yg gk mau maju bisanya cuma hambur2 kan uang negara/ rakyat",dpr cuma mementingkan anggota saja kalao ada mentri yg baru berani mengungkap pejabat yg nakal dpr komisi 11 kayaknya jengkel ada mentri keuwangan yg jujur jangan2 dpr sendiri yg gk mau maju bisanya cuma hambur2 kan uang negara rakyat,dpr mementingkan anggota kalao mentri yg berani mengungkap pejabat yg nakal dpr komisi 11 kayaknya jengkel mentri keuwangan yg jujur jangan2 dpr yg gk maju bisanya hambur2 uang negara rakyat,dpr penting anggota kalao tri yg berani ungkap jabat yg nakal dpr komisi 11 kayak jengkel tri keuwangan yg jujur jangan2 dpr yg gk maju bisa hambur2 uang negara rakyat,dpr anggota kalao tri berani jabat nakal dpr komisi 11 kayak jengkel tri keuwangan jujur jangan2 dpr maju hambur2 uang negara rakyat
anggota dpr hanya jadi beban apbn,anggota dpr hanya jadi beban apbn,anggota dpr beban apbn,anggota dpr beban apbn,anggota dpr beban apbn
"mohon maaf, masyarakat sudah tidak percaya pada dpr, apapun yang anda katakan, tidak ada yang percaya",mohon maaf masyarakat sudah tidak percaya pada dpr apapun yang anda katakan tidak ada yang percaya,mohon maaf masyarakat percaya dpr apapun percaya,mohon maaf masyarakat percaya dpr apa percaya,mohon maaf masyarakat percaya dpr percaya
