komentar,komentar_bersih,setelah_preprocesing
cm pinter ngomong aja dpr 2 kita tp gk bisa apa2 becusss,cm pinter ngomong aja dpr 2 kita tp gk bisa apa2 becusss,cm pinter ngomong aja dpr 2 tp gk apa2 becusss
dpr cm enak2an makan gaji dr rakyat gk bisa membenahi ekonomi indonesia jadi lebih baik gk perlu ada dpr,dpr cm enak2an makan gaji dr rakyat gk bisa membenahi ekonomi indonesia jadi lebih baik gk perlu ada dpr,dpr cm enak2an makan gaji dr rakyat gk membenahi ekonomi indonesia gk dpr
pilek yg akan datang gk usah di coblos,pilek yg akan datang gk usah di coblos,pilek yg gk coblos
dpr gk ada gunanya ko' gk memihak rakyat,dpr gk ada gunanya ko gk memihak rakyat,dpr gk gunanya ko gk rakyat
"klu mau efesiensi anggaran yg benar adalah efesiensi anggaran terhadap semua pejabat2 negara dan seluruh aparatur sipil negara, contohnya tunjangan2 asn dan pejabat - pejabat negara yg harus dipangkas bukan efensiensi utk pembangunan pak menkeu. coba lihat tujanggan2 asn dan pejabat2 negara yg besar2, thr dan gaji ke - 13, dan contoh yg dipaparkan lagi bahwa pegawai di kemenkeu ada 77.000 pegawai apa itu tdk terlalu banyak pak menkeu, coba buat perubahan di kemenkeu yg bpk pimpin dulu, baru bpk bisa lakukan pada kementerian lain. klu dibahas tentang dinas pendidikan, coba pak menkeu lihat para guru2 di sekolah swasta apa sdh seimbang kesejateraannya dgn guru2 yg pns???",klu mau efesiensi anggaran yg benar adalah efesiensi anggaran terhadap semua pejabat2 negara dan seluruh aparatur sipil negara contohnya tunjangan2 asn dan pejabat pejabat negara yg harus dipangkas bukan efensiensi utk pembangunan pak menkeu coba lihat tujanggan2 asn dan pejabat2 negara yg besar2 thr dan gaji ke 13 dan contoh yg dipaparkan lagi bahwa pegawai di kemenkeu ada 77000 pegawai apa itu tdk terlalu banyak pak menkeu coba buat perubahan di kemenkeu yg bpk pimpin dulu baru bpk bisa lakukan pada kementerian lain klu dibahas tentang dinas pendidikan coba pak menkeu lihat para guru2 di sekolah swasta apa sdh seimbang kesejateraannya dgn guru2 yg pns,klu efesiensi anggaran yg efesiensi anggaran pejabat2 negara aparatur sipil negara contohnya tunjangan2 asn pejabat pejabat negara yg dipangkas efensiensi utk pembangunan menkeu coba lihat tujanggan2 asn pejabat2 negara yg besar2 thr gaji 13 contoh yg dipaparkan pegawai kemenkeu 77000 pegawai tdk menkeu coba perubahan kemenkeu yg bpk pimpin bpk lakukan kementerian klu dibahas dinas pendidikan coba menkeu lihat guru2 sekolah swasta sdh seimbang kesejateraannya dgn guru2 yg pns
sekali sekali dpr ini kasih solusi jalan keluar.jangan cumu koar koar.rugi rakyat bayar dpr kalau cuma demikian ini cuma jadi beban negara.maka jangan salahkan bila ada keinginan rakyat untuk membubarkan dpr,sekali sekali dpr ini kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr kalau cuma demikian ini cuma jadi beban negaramaka jangan salahkan bila ada keinginan rakyat untuk membubarkan dpr,dpr kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr beban negaramaka salahkan rakyat membubarkan dpr
sekali sekali dpr ini kasih solusi jalan keluar.jangan cumu koar koar.rugi rakyat bayar dpr kalau cuma demikian ini cuma jadi beban negara.maka jangan salahkan bila ada keinginan rakyat untuk membubarkan dpr,sekali sekali dpr ini kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr kalau cuma demikian ini cuma jadi beban negaramaka jangan salahkan bila ada keinginan rakyat untuk membubarkan dpr,dpr kasih solusi jalan keluarjangan cumu koar koarrugi rakyat bayar dpr beban negaramaka salahkan rakyat membubarkan dpr
pengawasan secara berkala terus menerus pak mentri.sekali gak di awasi belok kemana mana,pengawasan secara berkala terus menerus pak mentrisekali gak di awasi belok kemana mana,pengawasan berkala menerus mentrisekali gak awasi belok kemana
"dasar, udah tau defisit besar tapi terus korupsi, anggota dpr tidak bayar pajak, kartel tidak bayar pajak, dibiari.",dasar udah tau defisit besar tapi terus korupsi anggota dpr tidak bayar pajak kartel tidak bayar pajak dibiari,dasar udah tau defisit korupsi anggota dpr bayar pajak kartel bayar pajak dibiari
residifis,residifis,residifis
kamu dpr tau pun bukan belanja untuk rakyat tapi dikorupsi.,kamu dpr tau pun bukan belanja untuk rakyat tapi dikorupsi,dpr tau belanja rakyat dikorupsi
"jangan bilang ""tak berguna kita"" kerna yang jelas 20 tahun tak berguna itu cuma kamu sama sri mulyani, bukan menko prubaya.",jangan bilang tak berguna kita kerna yang jelas 20 tahun tak berguna itu cuma kamu sama sri mulyani bukan menko prubaya,bilang berguna kerna 20 berguna sri mulyani menko prubaya
"utang nya di zaman sri mulyani, menko nya sri mylyani. 

kok baru sekarang sadar dan tanya bagaimana mau bayar utang 1,300 trillion. kenapa di  zaman sri mulyani tidak tanya? takut? atau sama sama bagi bagi wang korupsi.",utang nya di zaman sri mulyani menko nya sri mylyani kok baru sekarang sadar dan tanya bagaimana mau bayar utang 1300 trillion kenapa di zaman sri mulyani tidak tanya takut atau sama sama bagi bagi wang korupsi,utang nya zaman sri mulyani menko nya sri mylyani sadar bayar utang 1300 trillion zaman sri mulyani takut wang korupsi
"tunjangan2 dpr aja di efesiensilah, ayo berkorban wakil rakyat!!! katanya wakil rakyat kan??? buat apa tunjangan2 besar2 kalo gak ada perubahan kerakyat? kalo gak setuju di efesiensi tunjangan2nya ya mundur aja!!!",tunjangan2 dpr aja di efesiensilah ayo berkorban wakil rakyat katanya wakil rakyat kan buat apa tunjangan2 besar2 kalo gak ada perubahan kerakyat kalo gak setuju di efesiensi tunjangan2nya ya mundur aja,tunjangan2 dpr aja efesiensilah ayo berkorban wakil rakyat wakil rakyat tunjangan2 besar2 kalo gak perubahan kerakyat kalo gak setuju efesiensi tunjangan2nya ya mundur aja
kalau bicara complen pandai coba bikin undang2 hak angket kemiskinan tak jln2 xdpr dpr,kalau bicara complen pandai coba bikin undang2 hak angket kemiskinan tak jln2 xdpr dpr,bicara complen pandai coba bikin undang2 hak angket kemiskinan jln2 xdpr dpr
"aku sempat berpikir ada ga sih anggota dpr yg korupsi, kalau gak ada, gak mungkin sih apa gak ada yg mengawasi mereka",aku sempat berpikir ada ga sih anggota dpr yg korupsi kalau gak ada gak mungkin sih apa gak ada yg mengawasi mereka,berpikir ga sih anggota dpr yg korupsi gak gak sih gak yg mengawasi
kalau p purbaya pinter gak bolet seperti kalian kalian,kalau p purbaya pinter gak bolet seperti kalian kalian,p purbaya pinter gak bolet
memang p purbaya pinter kenapa dua hari aja firal bukan omong omong aja seperti anggota suka mempermainkan uang rakyat,memang p purbaya pinter kenapa dua hari aja firal bukan omong omong aja seperti anggota suka mempermainkan uang rakyat,p purbaya pinter aja firal omong omong aja anggota suka mempermainkan uang rakyat
persis pinter padahal ting kosong 😊,persis pinter padahal ting kosong,persis pinter ting kosong
gjih buta,gjih buta,gjih buta
"itulah kenapa indonesia jd negara mundur terus karena kalo ada orang berani melakukan gebrakan, biasanya banyak pertentangan kalo  ada orang yg bisa di ajak bersekongkolan maka mereka akan merasa nyaman, makanya korupsi rampok uang negara aman aman saja karena semua melakukan, negara kaya sumber daya alam tapi bangkrut.",itulah kenapa indonesia jd negara mundur terus karena kalo ada orang berani melakukan gebrakan biasanya banyak pertentangan kalo ada orang yg bisa di ajak bersekongkolan maka mereka akan merasa nyaman makanya korupsi rampok uang negara aman aman saja karena semua melakukan negara kaya sumber daya alam tapi bangkrut,indonesia jd negara mundur kalo orang berani gebrakan pertentangan kalo orang yg ajak bersekongkolan nyaman korupsi rampok uang negara aman aman negara kaya sumber daya alam bangkrut
bayar utang solusinya negara 1300 triliun solusinya tak perlu pak menteri keuangan menjawab saya org biasa saja yg jawab sangat mudah sekali bayar utang segitu dgn indonesian negara yg sangat.kaya raya.,bayar utang solusinya negara 1300 triliun solusinya tak perlu pak menteri keuangan menjawab saya org biasa saja yg jawab sangat mudah sekali bayar utang segitu dgn indonesian negara yg sangatkaya raya,bayar utang solusinya negara 1300 triliun solusinya menteri keuangan org yg mudah bayar utang segitu dgn indonesian negara yg sangatkaya raya
dpr perlu di ifisiensi biar dana negara tdk mubadir,dpr perlu di ifisiensi biar dana negara tdk mubadir,dpr ifisiensi biar dana negara tdk mubadir
"hai anggota dewan , knp wkt sri mulyani ngejabat,anda tdk ksh masukan sm sri mulyani yg ngejabat sdh puluhan thn,skarang anda langsung ngegas sm mentri yg baru,pertanyaan nya knp",hai anggota dewan knp wkt sri mulyani ngejabatanda tdk ksh masukan sm sri mulyani yg ngejabat sdh puluhan thnskarang anda langsung ngegas sm mentri yg barupertanyaan nya knp,hai anggota dewan knp wkt sri mulyani ngejabatanda tdk ksh masukan sm sri mulyani yg ngejabat sdh puluhan thnskarang langsung ngegas sm mentri yg barupertanyaan nya knp
"pa. purboyo gaskeun yg banyak protes. elit"" politik. suruh bikin korupsi harus di miskinkan g jadi""",pa purboyo gaskeun yg banyak protes elit politik suruh bikin korupsi harus di miskinkan g jadi,pa purboyo gaskeun yg protes elit politik suruh bikin korupsi miskinkan g
dpr sdh gak dipercaya rakyat kok bicara terus untuk siapa anda dpr bicara,dpr sdh gak dipercaya rakyat kok bicara terus untuk siapa anda dpr bicara,dpr sdh gak dipercaya rakyat bicara dpr bicara
"i'm not found?
what's the meaning  bro?",im not found whats the meaning bro,im not found whats the meaning bro
anggota dpr bnyk bicara tp tdk yakin dgn keberadaan mereka sendiri,anggota dpr bnyk bicara tp tdk yakin dgn keberadaan mereka sendiri,anggota dpr bnyk bicara tp tdk dgn keberadaan
anggota dpr bnyk bicara tp tdk yakin dgn keberadaan mereka sendiri,anggota dpr bnyk bicara tp tdk yakin dgn keberadaan mereka sendiri,anggota dpr bnyk bicara tp tdk dgn keberadaan
"dpr tu kerjanya masih pake staf ahli ya? kqlo iya, berarti tidak kompeten, tidak layak jadi anggota dpr, memalukan",dpr tu kerjanya masih pake staf ahli ya kqlo iya berarti tidak kompeten tidak layak jadi anggota dpr memalukan,dpr tu kerjanya pake staf ahli ya kqlo iya kompeten layak anggota dpr memalukan
"serius nanya 

menteri sama dewan itu tinggi siapa to jabatannya 
kok dpr kayak menyidang terdakwa",serius nanya menteri sama dewan itu tinggi siapa to jabatannya kok dpr kayak menyidang terdakwa,serius nanya menteri dewan to jabatannya dpr kayak menyidang terdakwa
dpr yg nyaman dg sm ketar ketir,dpr yg nyaman dg sm ketar ketir,dpr yg nyaman dg sm ketar ketir
"loh dprkan sudah bubar.
indonesia sekarang gak ada drp drr an",loh dprkan sudah bubar indonesia sekarang gak ada drp drr an,loh dprkan bubar indonesia gak drp drr an
hasil.kekayaan tambang.emas.bauxit.minyak.gas.timah nikel.uangnya kemana..rakyat diperas macam macam pajak. uang ya larinya kemana perlu ditelusuri.mohon p.prabowo.semangat mulai bersih bersih. dari koruptor.,hasilkekayaan tambangemasbauxitminyakgastimah nikeluangnya kemanarakyat diperas macam macam pajak uang ya larinya kemana perlu ditelusurimohon pprabowosemangat mulai bersih bersih dari koruptor,hasilkekayaan tambangemasbauxitminyakgastimah nikeluangnya kemanarakyat diperas pajak uang ya larinya kemana ditelusurimohon pprabowosemangat bersih bersih koruptor
"pendidikan dibawah depag, korupsi aparatnya kepaladinas2 dan jajarannya sering bikin berbagsi alasan utk bimteklah, pencocokan datalah, padahal sudah dilakukan pengumpulan dan pengisian data dengan system online. 
tapi??? intinya semua sekolah baik negri maupu  swasta dibawah depag tsb dimintain iuran. sekali lagi ""minta iyuran"" khususnya di kab. bogor. """,pendidikan dibawah depag korupsi aparatnya kepaladinas2 dan jajarannya sering bikin berbagsi alasan utk bimteklah pencocokan datalah padahal sudah dilakukan pengumpulan dan pengisian data dengan system online tapi intinya semua sekolah baik negri maupu swasta dibawah depag tsb dimintain iuran sekali lagi minta iyuran khususnya di kab bogor,pendidikan dibawah depag korupsi aparatnya kepaladinas2 jajarannya bikin berbagsi alasan utk bimteklah pencocokan datalah pengumpulan pengisian data system online intinya sekolah negri maupu swasta dibawah depag tsb dimintain iuran iyuran kab bogor
"pak mekeng jangan usul anggaran orang dikurangi, coba kurangi juga anggaran dpr",pak mekeng jangan usul anggaran orang dikurangi coba kurangi juga anggaran dpr,mekeng usul anggaran orang dikurangi coba kurangi anggaran dpr
"bapat pintar omong,, tapi kepintaran bapak tilap tilap duit rakyat",bapat pintar omong tapi kepintaran bapak tilap tilap duit rakyat,bapat pintar omong kepintaran tilap tilap duit rakyat
ekonomi bisa meningkat jika dpr ditiadakan🎉🎉🎉🎉,ekonomi bisa meningkat jika dpr ditiadakan,ekonomi meningkat dpr ditiadakan
"dpr diskusa diskusi, gk jls. dpr (datang pulang rupiah) omong opo dpr gk mutu.",dpr diskusa diskusi gk jls dpr datang pulang rupiah omong opo dpr gk mutu,dpr diskusa diskusi gk jls dpr pulang rupiah omong opo dpr gk mutu
gede omong dpr..sok penguasa.menjas mentri.padahal dunguuu😮,gede omong dprsok penguasamenjas mentripadahal dunguuu,gede omong dprsok penguasamenjas mentripadahal dunguuu
dan sudah menjadi tradisi di indonesia kalau ada orang yang benar dan tulus pro rakyat.ingin rakyat nya sejahtera.ingin indonesia ini maju pasti orang tersebut di cecer dan di singkirkan.mapia nya terlalu buas.,dan sudah menjadi tradisi di indonesia kalau ada orang yang benar dan tulus pro rakyatingin rakyat nya sejahteraingin indonesia ini maju pasti orang tersebut di cecer dan di singkirkanmapia nya terlalu buas,tradisi indonesia orang tulus pro rakyatingin rakyat nya sejahteraingin indonesia maju orang cecer singkirkanmapia nya buas
pangkas juga pengeluaran utk dpr,pangkas juga pengeluaran utk dpr,pangkas pengeluaran utk dpr
"dan lucunya anggota dprnya ngga ada yang ahli, asbun doang",dan lucunya anggota dprnya ngga ada yang ahli asbun doang,lucunya anggota dprnya ngga ahli asbun doang
indonesia klo ada orang berani jujur  dan transparan kerakyat soal kinerjanya pasti akan di usik dijatuhkan dan diragukan  olehh yg katanya  anggot4 wakilnya rakyatt 😂😂😂,indonesia klo ada orang berani jujur dan transparan kerakyat soal kinerjanya pasti akan di usik dijatuhkan dan diragukan olehh yg katanya anggot4 wakilnya rakyatt,indonesia klo orang berani jujur transparan kerakyat kinerjanya usik dijatuhkan diragukan olehh yg anggot4 wakilnya rakyatt
indonesia klo ada orang berani jujur  dan transparan kerakyat soal kinerjanya pasti akan di usik dijatuhkan dan diragukan  olehh yg katanya  anggot4 wakilnya rakyatt 😂😂😂,indonesia klo ada orang berani jujur dan transparan kerakyat soal kinerjanya pasti akan di usik dijatuhkan dan diragukan olehh yg katanya anggot4 wakilnya rakyatt,indonesia klo orang berani jujur transparan kerakyat kinerjanya usik dijatuhkan diragukan olehh yg anggot4 wakilnya rakyatt
anggota dewan semua berbicara layaknya berpihak pd rakyat tp..kalian lah yg menerima uang rakyat paling besar gajih2&tunjangan kalian harusnya dikurangi pasti kalian ngerti n tulus bantu rakyat karena kalian pasti ngrasain gmna rasanya jd orang berpenghasilan pas2an klo gajian & tunjangan kalian masih selangit indonesia gak akansejahtera dan itu pasti,anggota dewan semua berbicara layaknya berpihak pd rakyat tpkalian lah yg menerima uang rakyat paling besar gajih2tunjangan kalian harusnya dikurangi pasti kalian ngerti n tulus bantu rakyat karena kalian pasti ngrasain gmna rasanya jd orang berpenghasilan pas2an klo gajian tunjangan kalian masih selangit indonesia gak akansejahtera dan itu pasti,anggota dewan berbicara layaknya berpihak pd rakyat tpkalian yg menerima uang rakyat gajih2tunjangan dikurangi ngerti n tulus bantu rakyat ngrasain gmna jd orang berpenghasilan pas2an klo gajian tunjangan selangit indonesia gak akansejahtera
dpr kok baru ngomong..lha dulu ngapain aja,dpr kok baru ngomonglha dulu ngapain aja,dpr ngomonglha ngapain aja
pak purbaya tidak punya kemampuan hanya mekeng yg mampu,pak purbaya tidak punya kemampuan hanya mekeng yg mampu,purbaya kemampuan mekeng yg
"bosan saya mendengarkannya, karena saya sudah ngak percaya dengan dpr",bosan saya mendengarkannya karena saya sudah ngak percaya dengan dpr,bosan mendengarkannya ngak percaya dpr
"kami optimis bisa lbh maju p purbaya menjadi menkeu, walaupun hutangnya skrng sdh bnyk.",kami optimis bisa lbh maju p purbaya menjadi menkeu walaupun hutangnya skrng sdh bnyk,optimis lbh maju p purbaya menkeu hutangnya skrng sdh bnyk
anggota dewan rata rata omdo..di kasih amplop aja mulutnya bisu.,anggota dewan rata rata omdodi kasih amplop aja mulutnya bisu,anggota dewan omdodi kasih amplop aja mulutnya bisu
"dpr cuma mementingkan anggota saja ,kalao ada mentri yg baru berani mengungkap pejabat yg nakal  dpr komisi 11 kayaknya jengkel ada mentri keuwangan yg jujur jangan2 dpr sendiri yg gk mau maju bisanya cuma hambur2 kan uang negara/ rakyat",dpr cuma mementingkan anggota saja kalao ada mentri yg baru berani mengungkap pejabat yg nakal dpr komisi 11 kayaknya jengkel ada mentri keuwangan yg jujur jangan2 dpr sendiri yg gk mau maju bisanya cuma hambur2 kan uang negara rakyat,dpr mementingkan anggota kalao mentri yg berani mengungkap pejabat yg nakal dpr komisi 11 kayaknya jengkel mentri keuwangan yg jujur jangan2 dpr yg gk maju bisanya hambur2 uang negara rakyat
anggota dpr hanya jadi beban apbn,anggota dpr hanya jadi beban apbn,anggota dpr beban apbn
"mohon maaf, masyarakat sudah tidak percaya pada dpr, apapun yang anda katakan, tidak ada yang percaya",mohon maaf masyarakat sudah tidak percaya pada dpr apapun yang anda katakan tidak ada yang percaya,mohon maaf masyarakat percaya dpr apapun percaya
sebaiknya anggaran mbg di alihkan saja  dulu nya  pun tak ada bikin banyak pengeluaran negara aja,sebaiknya anggaran mbg di alihkan saja dulu nya pun tak ada bikin banyak pengeluaran negara aja,anggaran mbg alihkan nya bikin pengeluaran negara aja
"saya kira mewakili rakyat , ternyata harga dirinya terjual untk kepentingan diri sendiri.",saya kira mewakili rakyat ternyata harga dirinya terjual untk kepentingan diri sendiri,mewakili rakyat harga terjual untk kepentingan
banyak rakyat jug gak kuat bayar angsuran bank,banyak rakyat jug gak kuat bayar angsuran bank,rakyat jug gak kuat bayar angsuran bank
malah makin sulit nyari duit lurrrrr,malah makin sulit nyari duit lurrrrr,sulit nyari duit lurrrrr
"omongan habisi dana negara,sll kapan hukum mati tuk koruptor?",omongan habisi dana negarasll kapan hukum mati tuk koruptor,omongan habisi dana negarasll hukum mati tuk koruptor
"kepada bapak2 komisi dpr, bapak itu bisa menjabat hanya karena atas nama rakyat, nga ada pengorbanan2 yg terlalu setengah mati, jadi saran saya rakyat itu butuh bukti pak dari kinerjamu, bukan hanya pintar debat tapi taunya memperkaya diri sendiri saja tapi masih banyak rakyatmu menderita, jadi olehnya itu buktikan kinerjamu dengan kemampuanmu mensejahterakan rakyat bosssss!!!!!!!!",kepada bapak2 komisi dpr bapak itu bisa menjabat hanya karena atas nama rakyat nga ada pengorbanan2 yg terlalu setengah mati jadi saran saya rakyat itu butuh bukti pak dari kinerjamu bukan hanya pintar debat tapi taunya memperkaya diri sendiri saja tapi masih banyak rakyatmu menderita jadi olehnya itu buktikan kinerjamu dengan kemampuanmu mensejahterakan rakyat bosssss,bapak2 komisi dpr menjabat nama rakyat nga pengorbanan2 yg mati saran rakyat butuh bukti kinerjamu pintar debat taunya memperkaya rakyatmu menderita buktikan kinerjamu kemampuanmu mensejahterakan rakyat bosssss
"katanya keuangan central dr seluruh central,tapi uu perampasan aset mlempem.dasar wakil partai",katanya keuangan central dr seluruh centraltapi uu perampasan aset mlempemdasar wakil partai,keuangan central dr centraltapi uu perampasan aset mlempemdasar wakil partai
hukum masyarskat itu kejam memang.sekali maling tetap maling.dpr joget menari nari diatas penderitaan rakyat.,hukum masyarskat itu kejam memangsekali maling tetap malingdpr joget menari nari diatas penderitaan rakyat,hukum masyarskat kejam memangsekali maling malingdpr joget menari nari diatas penderitaan rakyat
komosi xi dpri sudah gagal mengawasi pemerintah era menkeu sri mulyani hanya banyak cakap tidak ada hasil untuk rakyat indonesia. maju terus pak purbaya maju tak gentar membela merah putih ❤,komosi xi dpri sudah gagal mengawasi pemerintah era menkeu sri mulyani hanya banyak cakap tidak ada hasil untuk rakyat indonesia maju terus pak purbaya maju tak gentar membela merah putih,komosi xi dpri gagal mengawasi pemerintah era menkeu sri mulyani cakap hasil rakyat indonesia maju purbaya maju gentar membela merah putih
nek dengar dpr ngomong,nek dengar dpr ngomong,nek dengar dpr ngomong
yg bertanggung jawab perekonomian negara adalah bapak menteri bukan dpr jadi tidak perlu rapat dengan dpr 💪,yg bertanggung jawab perekonomian negara adalah bapak menteri bukan dpr jadi tidak perlu rapat dengan dpr,yg bertanggung perekonomian negara menteri dpr rapat dpr
"orang cuma hanya bisa ngomong doang, sadar tidak kurangi korupsi, kejutan nya hentikan otak korup nts",orang cuma hanya bisa ngomong doang sadar tidak kurangi korupsi kejutan nya hentikan otak korup nts,orang ngomong doang sadar kurangi korupsi kejutan nya hentikan otak korup nts
klo mau bikin uu hukuman mati bg kruptor psti dpr mnolak total,klo mau bikin uu hukuman mati bg kruptor psti dpr mnolak total,klo bikin uu hukuman mati bg kruptor psti dpr mnolak total
pak dpr yang terhormat sadar diri nggak ?,pak dpr yang terhormat sadar diri nggak,dpr terhormat sadar nggak
betul skrg masih baaanyak lembaga penddkan swasta tdk punya kantor perpustakaan .kerena mimang bantuannya dari pemerintah tdk rata.ada yg dapat ada yg tdk.,betul skrg masih baaanyak lembaga penddkan swasta tdk punya kantor perpustakaan kerena mimang bantuannya dari pemerintah tdk rataada yg dapat ada yg tdk,skrg baaanyak lembaga penddkan swasta tdk kantor perpustakaan kerena mimang bantuannya pemerintah tdk rataada yg yg tdk
heppy ya !!!! yg miskin masih banyak  woy,heppy ya yg miskin masih banyak woy,heppy ya yg miskin woy
"ngomong segudang,suruh ngirit dirimu tuh ngaca..baru tiga hari suruh ngapain..botak",ngomong segudangsuruh ngirit dirimu tuh ngacabaru tiga hari suruh ngapainbotak,ngomong segudangsuruh ngirit dirimu tuh ngacabaru suruh ngapainbotak
"asli karena pak purbaya seumur hidup gua baru pertama kali gua tonton berita begini,semangat menjaga amanah pak ❤",asli karena pak purbaya seumur hidup gua baru pertama kali gua tonton berita beginisemangat menjaga amanah pak,asli purbaya seumur hidup gua kali gua tonton berita beginisemangat menjaga amanah
"jgn dengarkan ocehan dpr pak purbaya sudah lama dpr ngemplang pajak rakyat ,jlnkann program rakyat yg pro rakyat itu",jgn dengarkan ocehan dpr pak purbaya sudah lama dpr ngemplang pajak rakyat jlnkann program rakyat yg pro rakyat itu,jgn dengarkan ocehan dpr purbaya dpr ngemplang pajak rakyat jlnkann program rakyat yg pro rakyat
dpr kacian deh😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,dpr kacian deh,dpr kacian deh
maka dpr ketakutan kehilangan cuan cuan aspirasi cuan cuan ya 😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,maka dpr ketakutan kehilangan cuan cuan aspirasi cuan cuan ya,dpr ketakutan kehilangan cuan cuan aspirasi cuan cuan ya
dpr biasa setiap rapat sudah biasa ada uang rapat dan buang pungli pungli aspira aspirasi  maka cuan cuan lagi,dpr biasa setiap rapat sudah biasa ada uang rapat dan buang pungli pungli aspira aspirasi maka cuan cuan lagi,dpr rapat uang rapat buang pungli pungli aspira aspirasi cuan cuan
dpr pasti ketakutan kehilangan cuan cuan,dpr pasti ketakutan kehilangan cuan cuan,dpr ketakutan kehilangan cuan cuan
"ini anggota gak ada maanfaatnya.
hrsnya sama” membangun.
bukan memojokan 🤷",ini anggota gak ada maanfaatnya hrsnya sama” membangun bukan memojokan 🤷,anggota gak maanfaatnya hrsnya sama” membangun memojokan 🤷
dpr jangan bisa ngomong doang.buktikan kerja mu yg bener.,dpr jangan bisa ngomong doangbuktikan kerja mu yg bener,dpr ngomong doangbuktikan kerja mu yg bener
"dpr dewan permusuhan rakyat,u org2 cmn pengimis suara",dpr dewan permusuhan rakyatu org2 cmn pengimis suara,dpr dewan permusuhan rakyatu org2 cmn pengimis suara
"selama menteri keuangan yg lama apakah mereka bertanya se detile itu, jadi heran deh mereka kayak geger dengan gebrakan sekarang",selama menteri keuangan yg lama apakah mereka bertanya se detile itu jadi heran deh mereka kayak geger dengan gebrakan sekarang,menteri keuangan yg detile heran deh kayak geger gebrakan
"kami para orang menginginkan perubahan formula mbg. 

bagaiama jika dana mbg dikasih ke orang tua siswa agar orang yang belanja sesuai kebutuhan siswa sambil memperhatikan ketentuan dari pemerintah.",kami para orang menginginkan perubahan formula mbg bagaiama jika dana mbg dikasih ke orang tua siswa agar orang yang belanja sesuai kebutuhan siswa sambil memperhatikan ketentuan dari pemerintah,orang perubahan formula mbg bagaiama dana mbg dikasih orang tua siswa orang belanja sesuai kebutuhan siswa memperhatikan ketentuan pemerintah
botak,botak,botak
"kurang2in pak diskusi sama orang2 ini, mereka cuma menghambat saja",kurang2in pak diskusi sama orang2 ini mereka cuma menghambat saja,kurang2in diskusi orang2 menghambat
